,Empid,projectName,projectType,Tech_stack,startDate,endDate,role,Status
21,Emp_5,PixelWorks,Payment Gateway,"['Continuous Integration', 'Scrum', 'Python', 'Technical Writing']",2012-01-14,2024-04-07,Performance Engineer,Approved
22,Emp_5,PixelWare,Payment Gateway,"['Cybersecurity', '.NET', 'Requirements Analysis', 'GraphQL']",1972-09-06,2024-04-15,Cloud Solutions Architect,Approved
23,Emp_5,DataCraft,Chatbot,"['Vue.js', 'Responsive Design', 'MongoDB', 'Prototyping']",2000-03-17,2024-04-28,Artificial Intelligence Engineer,Approved
24,Emp_6,CodeCraft Web Builder,Help Desk Software,"['Continuous Deployment', 'JavaScript', 'User Research', 'CSS']",2009-02-24,2024-04-10,Technical Architect,Pending
25,Emp_6,MetaMind Chatbot Builder,Appointment Scheduling Software,"['Data Science', 'Angular', 'Problem Solving', '.NET']",2002-05-24,2024-04-11,Product Manager,Approved
26,Emp_6,CyberTech,Booking System,"['JavaScript', 'Product Management', 'SQL', 'NoSQL']",1982-05-01,2024-04-29,Technical Architect,Pending
27,Emp_6,TechSprint,Educational Software,"['Vue.js', 'Python', 'Containerization', 'C#']",1996-02-24,2024-04-14,UI/UX Designer,Approved
28,Emp_7,CyberLink,Inventory Control System,"['JavaScript', 'Requirements Analysis', 'Leadership', 'Objective-C']",1999-01-05,2024-04-14,DevOps Engineer,Approved
29,Emp_7,LogicLane Project Tracker,Sales Forecasting Software,"['Flask', 'Business Analysis', 'Test-Driven Development', '.NET']",1977-10-01,2024-04-11,Configuration Manager,Pending
30,Emp_7,SwiftShift Time Tracker,Appointment Scheduling Software,"['Wireframing', 'Google Cloud Platform', 'Java', '.NET']",2022-11-27,2024-04-14,Cybersecurity Specialist,Pending
31,Emp_7,PixelWare,Event Management Software,"['Product Management', 'Cybersecurity', 'Requirements Analysis', 'Artificial Intelligence']",2018-09-29,2024-04-22,Cybersecurity Specialist,Pending
32,Emp_8,TechNova Backup Solution,Event Management Software,"['User Research', 'Kubernetes', 'Azure', 'Product Management']",2017-07-20,2024-04-28,Technical Architect,Pending
33,Emp_8,DataSync,Desktop Software,"['Continuous Deployment', 'Microservices', 'React', 'C#']",1985-05-04,2024-04-10,Technical Writer,Approved
34,Emp_8,CyberTech,Workflow Management Software,"['Documentation', 'Ruby', 'Interaction Design', 'Machine Learning']",1986-09-23,2024-04-23,DevOps Engineer,Approved
35,Emp_8,AgileWare,Data Analyzer,"['UI/UX Design', 'Network Security', 'Flask', 'User Stories']",2021-02-15,2024-04-07,UI/UX Designer,Approved
36,Emp_9,QuickTech Remote Support,Fleet Management System,"['Collaboration', 'Test-Driven Development', 'Kubernetes', 'Problem Solving']",2002-11-07,2024-04-09,Project Manager,Approved
37,Emp_9,MetaMind Chatbot Builder,Task Management Tool,"['GraphQL', 'Google Cloud Platform', 'Data Science', 'MongoDB']",2009-08-29,2024-04-16,Project Manager,Approved
38,Emp_9,DataPulse,Backup Solution,"['MongoDB', 'Agile Methodologies', 'Data Science', 'Cryptography']",1981-05-08,2024-04-17,DevOps Engineer,Pending
39,Emp_9,TechSpark,Appointment Scheduling Software,"['Data Visualization', 'Microservices', 'Troubleshooting', 'Kotlin']",2007-02-21,2024-04-30,Artificial Intelligence Engineer,Approved
40,Emp_10,PixelPlex Crypto Trader,Project Management Software,"['Statistical Analysis', 'Kubernetes', 'Django', 'Flask']",1997-06-19,2024-04-17,Technical Architect,Pending
41,Emp_10,ByteBlitz Document Manager,Email Client,"['Cryptography', 'DevOps', 'JavaScript', 'Wireframing']",2016-01-10,2024-04-25,Product Manager,Approved
42,Emp_10,AgileTech,Data Visualization Tool,"['Azure', 'Leadership', 'Cryptography', 'AWS']",2002-11-20,2024-04-28,Machine Learning Engineer,Pending
43,Emp_10,PixelWorks,Online Marketplace,"['MySQL', 'Ruby', 'Product Management', 'Data Science']",1975-02-26,2024-04-15,Cloud Solutions Architect,Pending
44,Emp_11,CyberLink,POS System,"['Docker', 'PostgreSQL', 'Python', 'Continuous Deployment']",2020-11-08,2024-04-11,Cybersecurity Specialist,Approved
45,Emp_11,CodeCraft,Content Delivery Network,"['Vue.js', 'Ruby', 'Continuous Integration', 'Swift']",1984-09-04,2024-04-14,Automation Tester,Pending
46,Emp_11,PixelWare,Task Management Tool,"['Information Security', '.NET', 'Troubleshooting', 'Collaboration']",2021-11-07,2024-04-08,Artificial Intelligence Engineer,Pending
47,Emp_11,NexGen Mobile Scheduler,Document Management System,"['Swift', 'Machine Learning', 'Artificial Intelligence', 'MongoDB']",2007-12-21,2024-04-29,Configuration Manager,Pending
48,Emp_12,TechTrek Data Analyzer,Inventory Control System,"['Artificial Intelligence', 'Cryptography', 'Swift', 'Docker']",2003-11-10,2024-04-08,Cloud Solutions Architect,Pending
49,Emp_12,SwiftCode,Remote Support Tool,"['Documentation', 'Problem Solving', 'Ruby', 'SQL']",1990-02-27,2024-04-29,Product Manager,Approved
50,Emp_12,CyberLink,Appointment Scheduling Software,"['Microservices', 'Cybersecurity', 'MongoDB', 'Statistical Analysis']",1974-05-24,2024-05-01,Quality Assurance Engineer,Approved
51,Emp_12,ByteForge,Event Management Software,"['Ruby', 'Leadership', 'DevOps', 'GraphQL']",2017-09-24,2024-05-01,Configuration Manager,Approved
52,Emp_13,TechTrek Data Analyzer,Data Analyzer,"['Statistical Analysis', 'Responsive Design', 'Django', 'Leadership']",2008-11-11,2024-04-26,Quality Assurance Engineer,Approved
53,Emp_13,DataWave,Inventory Management System,"['NoSQL', 'Java', 'Agile Product Management', 'C#']",1989-06-24,2024-04-29,Configuration Manager,Approved
54,Emp_13,SwiftCode,Learning Management System,"['Angular', 'Interaction Design', 'Wireframing', 'Objective-C']",2012-04-02,2024-04-26,Automation Tester,Approved
55,Emp_13,DataCraft,Web Application,"['Node.js', 'Ruby', 'Requirements Analysis', 'Network Security']",1981-05-26,2024-04-08,Cloud Solutions Architect,Approved
56,Emp_14,CatalystCommerce,Dashboard Creator,"['Statistical Analysis', 'Technical Writing', 'Kotlin', 'Interaction Design']",1992-10-23,2024-04-20,Developer,Pending
57,Emp_14,SilverLinx POS System,Budget Planner,"['CSS', 'Agile Methodologies', 'Node.js', 'Requirements Analysis']",1989-04-06,2024-04-18,Cybersecurity Specialist,Pending
58,Emp_14,InnovaTech,Healthcare Management System,"['Artificial Intelligence', 'Swift', 'JavaScript', 'HTML']",2005-12-01,2024-04-19,Machine Learning Engineer,Pending
59,Emp_14,NexGen Mobile Scheduler,Backup Solution,"['AWS', 'Leadership', 'Microservices', 'CI/CD']",1985-03-19,2024-05-02,Technical Writer,Pending
60,Emp_15,CyberLink,Dashboard Creator,"['Objective-C', 'Business Analysis', 'DevOps', 'Containerization']",1992-05-30,2024-05-02,IT Support Specialist,Pending
61,Emp_15,DataForge Dashboard Creator,Healthcare Management System,"['Continuous Integration', 'Product Management', 'CSS', 'Responsive Design']",2016-06-11,2024-04-10,Designer,Pending
62,Emp_15,EchoTech Task Manager,Survey Software,"['AWS', 'Objective-C', 'Accessibility', 'HTML']",2005-11-07,2024-04-27,IT Support Specialist,Approved
63,Emp_15,AgileFlow,CRM System,"['Prototyping', 'Cybersecurity', 'Scrum', 'Azure']",1998-10-29,2024-04-10,Developer,Approved
64,Emp_16,PixelPlex Crypto Trader,Human Resource Management System,"['Problem Solving', 'Cryptography', 'User Stories', 'Agile Product Management']",1974-11-22,2024-04-19,Release Manager,Approved
65,Emp_16,PixelPulse,Ticketing System,"['Requirements Analysis', 'Test-Driven Development', 'Troubleshooting', 'C#']",1990-08-12,2024-04-14,Data Scientist,Approved
66,Emp_16,DataLink Inventory Tracker,Content Delivery Network,"['Artificial Intelligence', 'Django', 'Ruby', 'Leadership']",1985-01-05,2024-04-17,UI/UX Designer,Approved
67,Emp_16,CodeCraft Web Builder,Warehouse Management System,"['Test-Driven Development', 'Flask', 'CSS', 'Kotlin']",1994-02-16,2024-04-25,Data Scientist,Approved
68,Emp_17,TechTrek Data Analyzer,Social Networking Platform,"['HTML', 'Kotlin', 'UI/UX Design', 'Product Management']",1996-01-15,2024-04-28,Product Manager,Approved
69,Emp_17,TechSpark,Accounting Software,"['Docker', 'Responsive Design', 'PHP', 'Vue.js']",1984-12-07,2024-04-11,IT Support Specialist,Approved
70,Emp_17,DataLink Inventory Tracker,Content Delivery Network,"['Penetration Testing', 'CI/CD', 'Collaboration', 'Technical Writing']",1974-02-15,2024-04-17,Configuration Manager,Approved
71,Emp_17,AgileWare,Educational Software,"['SQL', 'Statistical Analysis', 'Wireframing', 'Collaboration']",1992-12-01,2024-04-28,Cybersecurity Specialist,Approved
72,Emp_18,ByteBoost,Booking System,"['Product Management', 'Scrum', 'RESTful API', 'Java']",1989-03-20,2024-04-22,Developer,Approved
73,Emp_18,Streamline Solutions CRM,Educational Software,"['Microservices', 'Agile Methodologies', 'Git', 'Flask']",1975-07-27,2024-04-27,UI/UX Designer,Approved
74,Emp_18,InnovateSoft Budget Planner,Healthcare Management System,"['Artificial Intelligence', 'Collaboration', 'Agile Product Management', 'Support']",2013-12-16,2024-04-21,Network Engineer,Approved
75,Emp_18,BlueFinity Evoke,CRM System,"['Flask', 'C#', 'Agile Methodologies', 'User Research']",1999-01-28,2024-04-12,Product Manager,Approved
76,Emp_19,ByteForge,Email Client,"['Flask', 'Data Visualization', 'Data Science', 'Cybersecurity']",1976-02-28,2024-04-17,Project Manager,Approved
77,Emp_19,DataWave,Supply Chain Management Software,"['User Research', 'Objective-C', 'Network Security', 'Agile Methodologies']",1991-07-13,2024-04-18,Product Manager,Approved
78,Emp_19,TechSprint,Content Management System,"['Agile Product Management', 'Containerization', 'Git', 'Agile Methodologies']",1986-04-03,2024-05-01,Artificial Intelligence Engineer,Approved
79,Emp_19,LogicLane Project Tracker,Ticketing System,"['Flask', 'Support', 'PostgreSQL', 'Responsive Design']",2013-12-10,2024-04-11,Database Administrator,Approved
80,Emp_20,SwiftShift Time Tracker,Remote Support Tool,"['CI/CD', 'Objective-C', 'MySQL', 'Swift']",1993-07-28,2024-04-16,Configuration Manager,Approved
81,Emp_20,PixelPlex Crypto Trader,Learning Management System,"['CSS', 'Product Management', 'Artificial Intelligence', 'Java']",1973-02-18,2024-04-21,DevOps Engineer,Approved
82,Emp_20,InnovatePro,Inventory Management System,"['Continuous Integration', 'UI/UX Design', 'Azure', 'Swift']",1987-09-07,2024-04-08,Database Administrator,Approved
83,Emp_20,DataBridge,Remote Support Tool,"['Behavior-Driven Development', 'Kotlin', 'Django', 'CI/CD']",1973-11-23,2024-04-26,Project Manager,Approved
84,Emp_21,QuickTech Remote Support,Help Desk Software,"['Machine Learning', 'Business Analysis', 'Data Science', 'Swift']",2011-10-26,2024-04-19,Cybersecurity Specialist,Approved
85,Emp_21,ByteBoost,Online Marketplace,"['Statistical Analysis', 'Data Visualization', 'Technical Writing', 'Collaboration']",2013-02-21,2024-04-12,Cloud Solutions Architect,Approved
86,Emp_21,AgileFlow,Workflow Management Software,"['CSS', 'Test-Driven Development', 'PHP', 'Communication']",2018-08-05,2024-04-11,Release Manager,Approved
87,Emp_21,SilverLinx POS System,Data Visualization Tool,"['Responsive Design', 'MongoDB', 'Problem Solving', '.NET']",1978-12-05,2024-04-09,Developer,Approved
88,Emp_22,BlueFinity Evoke,Ticketing System,"['Scrum', 'Ruby', 'Prototyping', 'HTML']",1986-08-10,2024-05-03,Technical Writer,Approved
89,Emp_22,AgileFlow,Chatbot,"['Information Security', 'React', 'C#', 'JavaScript']",2006-02-08,2024-04-27,Database Administrator,Approved
90,Emp_22,CatalystCommerce,Chatbot,"['Git', 'Wireframing', 'Documentation', 'AWS']",1972-03-21,2024-04-20,Network Engineer,Approved
91,Emp_22,PixelPlex Crypto Trader,Data Visualization Tool,"['PostgreSQL', 'Penetration Testing', 'Product Management', 'Problem Solving']",2003-03-30,2024-05-03,Quality Assurance Engineer,Approved
92,Emp_23,CatalystCommerce,Ticketing System,"['MongoDB', 'Docker', 'Microservices', 'Kotlin']",1993-05-30,2024-04-26,Project Manager,Approved
93,Emp_23,LogicLane Project Tracker,CRM System,"['Product Management', 'Kotlin', 'PostgreSQL', 'Machine Learning']",2021-12-05,2024-05-03,Automation Tester,Approved
94,Emp_23,InnovateSoft Budget Planner,Desktop Software,"['Troubleshooting', 'User Stories', 'Flask', 'Objective-C']",1973-01-03,2024-04-24,Technical Architect,Approved
95,Emp_23,DataCraft,Human Resource Management System,"['AWS', 'Accessibility', 'Network Security', 'Communication']",2010-11-06,2024-04-25,Configuration Manager,Approved
96,Emp_24,DataWave,Email Client,"['Data Science', 'Git', 'RESTful API', 'AWS']",1976-09-23,2024-04-09,Data Scientist,Approved
97,Emp_24,SwiftWave,Accounting Software,"['Artificial Intelligence', 'Penetration Testing', 'Wireframing', 'Responsive Design']",2005-09-17,2024-04-10,Machine Learning Engineer,Approved
98,Emp_24,FusionSoft Email Client,Time Tracking Tool,"['Git', 'Python', 'Prototyping', 'PostgreSQL']",2001-12-07,2024-04-20,DevOps Engineer,Approved
99,Emp_24,PixelPlex Crypto Trader,Ticketing System,"['Support', 'Ruby', 'Network Security', 'RESTful API']",1990-10-27,2024-05-03,IT Support Specialist,Approved
100,Emp_25,DataForge Dashboard Creator,Mobile App,"['Python', 'Continuous Integration', 'Interaction Design', 'Git']",2008-01-07,2024-04-29,Machine Learning Engineer,Approved
101,Emp_25,SwiftShift Time Tracker,Help Desk Software,"['PHP', 'RESTful API', 'Data Science', 'NoSQL']",1989-06-19,2024-05-05,Product Manager,Approved
102,Emp_25,DataCraft,POS System,"['Prototyping', 'Continuous Deployment', 'Information Security', 'Swift']",1996-12-07,2024-04-24,Technical Architect,Approved
103,Emp_25,FusionSoft Email Client,Help Desk Software,"['PHP', 'Troubleshooting', 'UI/UX Design', 'RESTful API']",1972-09-14,2024-05-03,Quality Assurance Engineer,Approved
104,Emp_26,DataForge Dashboard Creator,Document Management System,"['Objective-C', 'HTML', 'CI/CD', 'MySQL']",1971-12-03,2024-04-12,Artificial Intelligence Engineer,Approved
105,Emp_26,InnovateSoft Budget Planner,Supply Chain Management Software,"['Interaction Design', 'MongoDB', 'Containerization', 'Troubleshooting']",2022-03-04,2024-04-07,IT Support Specialist,Approved
106,Emp_26,AgileWare,Workflow Management Software,"['HTML', 'Data Analysis', 'Flask', 'Kotlin']",1988-03-02,2024-04-10,Network Engineer,Approved
107,Emp_26,AgileTech,Web Application,"['Microservices', 'Continuous Deployment', 'Machine Learning', 'SQL']",1987-04-09,2024-05-03,Quality Assurance Engineer,Approved
108,Emp_27,DataForge Dashboard Creator,Time Tracking Tool,"['User Research', 'Statistical Analysis', 'Interaction Design', 'Prototyping']",2015-05-03,2024-04-22,Automation Tester,Approved
109,Emp_27,LogicLane Project Tracker,POS System,"['Prototyping', 'Continuous Deployment', 'Problem Solving', 'JavaScript']",2011-02-16,2024-04-27,Cybersecurity Specialist,Approved
110,Emp_27,InnovaTech,Inventory Control System,"['AWS', 'Behavior-Driven Development', 'User Research', 'Collaboration']",1990-08-10,2024-05-02,Release Manager,Approved
111,Emp_27,PixelPulse,Inventory Control System,"['Business Analysis', 'Google Cloud Platform', 'Flask', 'Objective-C']",1989-05-21,2024-04-23,Artificial Intelligence Engineer,Approved
112,Emp_28,ByteForge,Virtual Assistant,"['AWS', 'Penetration Testing', 'Machine Learning', 'Google Cloud Platform']",1981-01-12,2024-05-05,Network Engineer,Approved
113,Emp_28,TechTrek Data Analyzer,Project Management Software,"['.NET', 'Django', 'Agile Product Management', 'Network Security']",1975-02-08,2024-04-12,Product Manager,Approved
114,Emp_28,DataSync,E-commerce Platform,"['Scrum', 'C#', 'Agile Product Management', 'CSS']",1998-06-22,2024-04-10,Release Manager,Approved
115,Emp_28,TechSprint,Healthcare Management System,"['Machine Learning', 'Git', 'Python', 'Collaboration']",1978-08-26,2024-04-30,Business Analyst,Approved
116,Emp_29,InnovateSoft Budget Planner,Dashboard Creator,"['.NET', 'React', 'Continuous Integration', 'Information Security']",2002-10-11,2024-04-14,Release Manager,Approved
117,Emp_29,CyberLink,Fleet Management System,"['Collaboration', 'Ruby', '.NET', 'C#']",2019-12-21,2024-04-24,Technical Writer,Approved
118,Emp_29,TechNova Backup Solution,Event Management Software,"['Communication', 'HTML', 'Python', 'RESTful API']",1991-01-16,2024-04-24,Developer,Approved
119,Emp_29,BlueFinity Evoke,CRM System,"['Swift', 'Collaboration', 'Agile Methodologies', 'Cybersecurity']",1976-02-08,2024-04-30,Data Scientist,Approved
120,Emp_30,BlueFinity Evoke,Content Delivery Network,"['Data Science', 'Python', 'UI/UX Design', 'Scrum']",2004-10-29,2024-05-04,Technical Architect,Approved
121,Emp_30,DataBridge,Appointment Scheduling Software,"['Test-Driven Development', 'Artificial Intelligence', 'MongoDB', 'Problem Solving']",2009-06-25,2024-04-08,Cloud Solutions Architect,Approved
122,Emp_30,AgileFlow,Backup Solution,"['Kotlin', 'AWS', 'NoSQL', 'Azure']",2020-06-19,2024-04-20,UI/UX Designer,Approved
123,Emp_30,SwiftCode,Social Networking Platform,"['SQL', 'Interaction Design', 'Requirements Analysis', 'Ruby']",2013-05-04,2024-04-08,Quality Assurance Engineer,Approved
124,Emp_31,DataSync,Dashboard Creator,"['.NET', 'Technical Writing', 'Continuous Integration', 'Prototyping']",1986-09-20,2024-04-18,Configuration Manager,Approved
125,Emp_31,TechTrek Data Analyzer,Task Management Tool,"['Git', 'Continuous Integration', 'CI/CD', 'AWS']",2020-08-16,2024-05-05,Release Manager,Approved
126,Emp_31,PixelPulse,Booking System,"['Machine Learning', 'Behavior-Driven Development', 'Documentation', 'Cryptography']",2006-04-16,2024-04-19,Quality Assurance Engineer,Approved
127,Emp_31,TechNova Backup Solution,Asset Management System,"['Git', 'DevOps', 'Data Visualization', 'Information Security']",2016-06-13,2024-04-24,Project Manager,Approved
128,Emp_32,AgileTech,Desktop Software,"['Azure', 'Agile Methodologies', 'PHP', 'CI/CD']",1971-05-10,2024-04-21,Network Engineer,Approved
129,Emp_32,DataSync,Crypto Trader,"['GraphQL', 'Cybersecurity', 'Accessibility', 'Kotlin']",1997-07-24,2024-04-22,Data Scientist,Approved
130,Emp_32,TechTrek Data Analyzer,Accounting Software,"['Test-Driven Development', 'Node.js', 'Behavior-Driven Development', 'Product Management']",2006-06-21,2024-04-24,Technical Architect,Approved
131,Emp_32,PixelWare,Help Desk Software,"['Vue.js', 'PostgreSQL', 'Machine Learning', 'Interaction Design']",2019-06-13,2024-04-27,Quality Assurance Engineer,Approved
132,Emp_33,FusionSoft Email Client,Content Management System,"['Information Security', 'User Research', 'GraphQL', 'UI/UX Design']",2012-04-08,2024-04-23,Developer,Approved
133,Emp_33,PixelPulse,Booking System,"['Data Analysis', 'Artificial Intelligence', 'Interaction Design', 'Technical Writing']",1999-06-13,2024-04-19,Cybersecurity Specialist,Approved
134,Emp_33,CodeCraft,Supply Chain Management Software,"['Azure', 'RESTful API', 'HTML', 'Troubleshooting']",1998-02-20,2024-04-14,Database Administrator,Approved
135,Emp_33,SwiftCode,Time Tracking Tool,"['MySQL', 'Troubleshooting', 'Django', 'Node.js']",1997-02-16,2024-04-09,Designer,Approved
136,Emp_34,QuickTech Remote Support,Data Visualization Tool,"['SQL', 'Data Science', 'DevOps', 'Kotlin']",1999-04-04,2024-04-12,Designer,Approved
137,Emp_34,DataCraft,Workflow Management Software,"['.NET', 'Agile Methodologies', 'Communication', 'MySQL']",2002-01-22,2024-04-13,Technical Architect,Approved
138,Emp_34,PixelWare,Virtual Assistant,"['Network Security', 'MongoDB', 'UI/UX Design', 'Support']",1984-09-25,2024-04-28,Project Manager,Approved
139,Emp_34,TechSprint,Supply Chain Management Software,"['Data Analysis', 'Cryptography', 'NoSQL', 'Cybersecurity']",1973-06-12,2024-04-28,Project Manager,Approved
140,Emp_35,DataLink Inventory Tracker,Virtual Assistant,"['DevOps', 'CSS', 'Wireframing', '.NET']",2002-01-05,2024-04-13,Database Administrator,Approved
141,Emp_35,CyberTech,Survey Software,"['Objective-C', '.NET', 'Test-Driven Development', 'Java']",1972-05-06,2024-04-26,Developer,Approved
142,Emp_35,DataBridge,Remote Support Tool,"['Angular', 'Behavior-Driven Development', 'SQL', 'Kubernetes']",1977-09-09,2024-05-02,Technical Writer,Approved
143,Emp_35,CyberLink,Customer Service Software,"['MongoDB', 'Python', 'Ruby', 'Vue.js']",1980-08-03,2024-04-20,Cloud Solutions Architect,Approved
144,Emp_36,QuickTech Remote Support,Help Desk Software,"['Azure', 'UI/UX Design', 'Technical Writing', 'Objective-C']",1982-08-03,2024-04-10,Release Manager,Approved
145,Emp_36,Streamline Solutions CRM,Customer Service Software,"['Continuous Integration', 'Agile Product Management', 'Ruby', 'UI/UX Design']",2000-08-28,2024-04-10,UI/UX Designer,Approved
146,Emp_36,SwiftWave,Fleet Management System,"['RESTful API', 'Cybersecurity', 'User Stories', 'Collaboration']",2020-03-08,2024-04-23,Artificial Intelligence Engineer,Approved
147,Emp_36,DataBridge,Booking System,"['Containerization', 'NoSQL', 'GraphQL', 'Agile Methodologies']",1995-08-11,2024-04-14,Automation Tester,Approved
148,Emp_37,Streamline Solutions CRM,Online Marketplace,"['Data Analysis', 'Microservices', 'MySQL', 'Containerization']",2002-06-16,2024-04-25,UI/UX Designer,Approved
149,Emp_37,TechTrek Data Analyzer,Content Delivery Network,"['Interaction Design', 'Django', 'Accessibility', 'Vue.js']",1977-08-10,2024-05-05,Business Analyst,Approved
150,Emp_37,SwiftWave,Human Resource Management System,"['Troubleshooting', 'NoSQL', 'HTML', 'C#']",2000-09-17,2024-04-19,Automation Tester,Approved
151,Emp_37,ByteForge,Dashboard Creator,"['Problem Solving', 'CI/CD', 'Azure', 'Leadership']",1995-12-31,2024-04-10,Cybersecurity Specialist,Approved
152,Emp_38,DataForge Dashboard Creator,Workflow Management Software,"['Angular', 'Git', 'Kotlin', 'Scrum']",1989-02-13,2024-04-26,Product Manager,Approved
153,Emp_38,CodeCraft Web Builder,Retail Management System,"['PHP', 'Continuous Integration', 'Penetration Testing', 'Information Security']",1981-09-29,2024-05-02,IT Support Specialist,Approved
154,Emp_38,DataLink Inventory Tracker,Learning Management System,"['Wireframing', 'Objective-C', 'Flask', 'NoSQL']",1993-09-07,2024-05-01,IT Support Specialist,Approved
155,Emp_38,MetaMind Chatbot Builder,Social Networking Platform,"['Data Visualization', 'Azure', 'User Stories', 'User Research']",1975-07-09,2024-04-13,Artificial Intelligence Engineer,Approved
156,Emp_39,CyberLink,Crypto Trader,"['PHP', 'UI/UX Design', 'Cybersecurity', 'Test-Driven Development']",2005-03-28,2024-05-03,Network Engineer,Approved
157,Emp_39,FusionSoft Email Client,Data Analyzer,"['Requirements Analysis', 'CI/CD', 'Microservices', 'UI/UX Design']",1997-04-12,2024-04-23,Technical Writer,Approved
158,Emp_39,DataForge Dashboard Creator,Appointment Scheduling Software,"['Django', 'Interaction Design', 'Support', 'User Stories']",2020-07-04,2024-04-20,Artificial Intelligence Engineer,Approved
159,Emp_39,AgileWare,Retail Management System,"['Git', 'CI/CD', 'Requirements Analysis', 'Kotlin']",1990-11-17,2024-04-26,IT Support Specialist,Approved
160,Emp_40,MetaMind Chatbot Builder,Web Application,"['Prototyping', 'Responsive Design', 'Interaction Design', 'Collaboration']",1979-09-18,2024-04-18,Configuration Manager,Approved
161,Emp_40,NexGen Mobile Scheduler,Mobile App,"['MySQL', 'Artificial Intelligence', 'Machine Learning', 'User Stories']",1975-08-30,2024-04-21,Network Engineer,Approved
162,Emp_40,PixelPulse,Human Resource Management System,"['DevOps', 'React', 'Technical Writing', 'Java']",1980-08-16,2024-04-17,DevOps Engineer,Approved
163,Emp_40,PixelWare,POS System,"['Documentation', 'Node.js', 'Agile Methodologies', 'Git']",1970-10-04,2024-05-05,Cloud Solutions Architect,Approved
164,Emp_41,DataLink Inventory Tracker,Email Client,"['.NET', 'Information Security', 'NoSQL', 'SQL']",2020-09-26,2024-04-14,Automation Tester,Approved
165,Emp_41,CatalystCommerce,Online Marketplace,"['Information Security', 'Interaction Design', 'MongoDB', 'Statistical Analysis']",1978-01-23,2024-04-15,Data Scientist,Approved
