,Empid,certificateName,issuingOrganization,issueDate,ExpireDate,credentialID,Status
35,Emp_491,User Research,"Moses, Lewis and Ward",1994-06-10,2024-04-20,690c213c-3487-4d24-8b1d-a96c60b0de85,Approved
36,Emp_178,Node.js,Daniels Group,1985-09-08,2024-04-18,af07187f-b4e4-46e2-90fa-33ff0a8efeb5,Approved
37,Emp_211,Ruby,"Macdonald, Bryant and David",2011-04-04,2024-05-04,1b7f43e6-208c-4c19-8ca6-627f2f42bed9,Approved
38,Emp_309,Ruby,Mcbride Group,1984-04-03,2024-05-06,0c800e0f-3dce-48f1-baac-0cb9cd07eb50,Approved
39,Emp_8,PHP,"Cross, Jacobs and Simpson",2011-07-18,2024-04-27,3c4be7cb-c834-48a0-8c60-c2566791b3fc,Rejected
40,Emp_300,Vue.js,"Beard, Torres and Austin",2015-02-11,2024-04-21,89cb839c-2cf6-4ce7-a994-70d1764953c3,Approved
41,Emp_488,Git,"Powell, Nash and Sandoval",1973-08-09,2024-04-30,51e5ae7a-c6c2-4e03-80c1-e432ca99898d,Approved
42,Emp_448,Ruby,Blackburn-Neal,1994-03-16,2024-04-23,23a03b54-5c60-4208-ac94-566c7d6b4745,Approved
43,Emp_475,Network Security,"Ritter, Suarez and Burgess",1985-05-12,2024-04-29,81b18b97-b78c-4210-818a-4d472a6b0ba7,Approved
44,Emp_414,Artificial Intelligence,Thomas-Garner,1996-01-24,2024-04-09,4e7768bd-7d46-4e28-abc5-14b761fce4c2,Approved
45,Emp_227,Responsive Design,"Johnston, Strong and Anderson",1982-01-30,2024-04-28,993b1fee-ae85-4f47-a17f-fbfcf984b549,Approved
46,Emp_321,SQL,Huffman Inc,1994-11-10,2024-05-03,4c32c28b-eb56-4ce9-8ea8-e09fb0acff2e,Approved
47,Emp_439,HTML,"Cunningham, Valdez and Ayala",2004-02-17,2024-04-27,3bf951b5-3519-4b24-b5d2-4519e52d48cd,Approved
48,Emp_190,Objective-C,Smith-Mathis,2018-04-03,2024-05-05,ef5d24c7-859a-4672-ad36-aac24e482c0e,Approved
49,Emp_298,Troubleshooting,Palmer PLC,2012-12-14,2024-04-10,93848255-a352-4df9-a7c6-d6120732ca52,Approved
50,Emp_179,PHP,Martinez Inc,2009-12-30,2024-04-14,ca56e043-73e3-4777-b7d7-91fcb52e1862,Approved
51,Emp_82,Kubernetes,Bernard-Goodman,2016-06-20,2024-04-12,e2e3d925-a805-4fb7-a7b8-95592a51a553,Approved
52,Emp_465,AWS,"Hobbs, Aguilar and Stout",1971-03-07,2024-04-25,510b4910-343c-485e-bc26-f6fa28b59f86,Approved
53,Emp_272,SQL,"Sherman, Phillips and Elliott",2012-12-27,2024-04-18,ce2f7a51-7fe5-4864-89b5-9ab8996db350,Approved
54,Emp_331,User Research,"Brooks, Douglas and Shepherd",1986-08-16,2024-04-25,799a791a-7621-410e-b0b3-054619225618,Approved
55,Emp_246,Vue.js,"Salazar, Robinson and Santiago",1987-07-18,2024-04-12,dfec79f4-bee1-4d01-80df-c00406df3f75,Approved
56,Emp_397,Communication,Hammond PLC,1974-05-26,2024-04-11,acf07347-8878-4f3d-b579-34bed4611109,Approved
57,Emp_157,Product Management,Hayes Inc,1999-11-01,2024-04-29,a720b6d5-f704-4edb-94bf-30ec4c1a2a8b,Approved
58,Emp_296,Data Visualization,Berry and Sons,1977-08-29,2024-04-15,128303ba-de79-467a-815c-d1bdf1c07c0e,Approved
59,Emp_487,Support,"Calderon, Bradley and Howard",1988-07-30,2024-04-26,65746bf6-ad04-4948-90f1-c1fa185e5870,Approved
60,Emp_402,DevOps,"Shaw, Harris and Franklin",1983-08-13,2024-04-25,c467e475-d3b9-469b-9048-03f50d904575,Approved
61,Emp_461,Cybersecurity,"Simon, Carter and Cohen",1989-08-26,2024-04-11,bdd72f1f-2700-47d0-b8cd-78c0ea2429d2,Approved
62,Emp_159,Azure,"Roach, Garza and Robertson",1979-06-08,2024-04-30,aeb5c606-382a-42de-97ee-1dd604d14538,Approved
63,Emp_68,SQL,Klein-Taylor,1997-10-15,2024-04-26,c1c735a9-9b4f-4efd-92cf-649df3a06cdd,Approved
64,Emp_88,Data Science,Scott PLC,1976-12-15,2024-04-28,a44d6808-6008-410a-8363-785b32609a73,Approved
65,Emp_309,Wireframing,"Bray, Hill and Wood",1995-03-27,2024-04-09,5e088bbc-ca48-4713-956d-edd5f3c43c6d,Approved
66,Emp_291,Cybersecurity,"Chang, Jones and Day",2000-06-18,2024-04-27,101c7ba2-5664-457f-b55f-923dffc3cf46,Approved
67,Emp_430,Requirements Analysis,Welch-Mcclure,1999-08-12,2024-04-23,295291f1-7785-46a4-9450-ee3b8ddddb1f,Approved
68,Emp_386,RESTful API,"Smith, Bradley and Brown",1980-06-06,2024-04-24,d4a94dae-7686-4a7a-912c-db7b6250ef6b,Approved
69,Emp_318,Wireframing,Hubbard-Hart,2005-09-29,2024-05-02,a74d5eec-9d9e-4b06-b2d2-3c339f884949,Approved
70,Emp_420,Google Cloud Platform,"Freeman, Hudson and Scott",2022-05-18,2024-04-29,e7156df1-0acb-40c5-8858-a0170b96b923,Approved
71,Emp_270,Accessibility,Fisher PLC,2006-12-27,2024-05-02,b10d9e90-3d60-412a-b4d7-7041ef336c70,Approved
72,Emp_216,Technical Writing,"Collins, Warner and Delgado",2011-02-26,2024-04-25,bca2ef1e-c132-4af0-9183-e8a337bf78a0,Approved
73,Emp_324,Test-Driven Development,Gregory-Jennings,1977-01-09,2024-04-24,f468689d-7b4c-4021-b3f9-21261c649973,Approved
74,Emp_322,Cryptography,Kelley Group,2011-10-17,2024-04-23,a2d615e8-c7cf-4df3-b453-1cafd14b2699,Approved
75,Emp_52,Git,"Gomez, Diaz and Baldwin",1979-02-16,2024-05-03,25126bc5-842c-4d52-bd36-4443001ad88c,Approved
76,Emp_421,MySQL,"Schultz, Mcclure and Hill",1985-03-21,2024-04-08,5f45e62c-a79e-4e85-958e-336f55f9e5f7,Approved
77,Emp_30,UI/UX Design,Anderson-Jackson,2005-06-24,2024-04-29,cb35b104-dbdf-4914-b795-7e5453a91f2d,Pending
78,Emp_67,Kotlin,Collins Group,2002-09-17,2024-04-25,d3e5f0a0-c18c-426d-948a-a5b5eb7c1d58,Approved
79,Emp_474,Communication,"Young, Park and Nelson",1995-08-06,2024-04-20,1bda6543-9c57-49e0-bd5e-0889e90108d4,Approved
80,Emp_437,Information Security,"Weiss, Mcguire and Saunders",2024-01-19,2024-04-14,db6a35e8-379d-47ba-b5d5-99e9c696e462,Approved
81,Emp_3,Git,Ray PLC,2019-04-19,2024-04-17,90914fae-773c-40fd-af2a-3ba620944b00,Rejected
82,Emp_16,Responsive Design,Smith Group,2006-12-11,2024-05-01,3914ea0d-3446-437a-9a53-98cc1f9daf5f,Rejected
83,Emp_282,Kotlin,Lewis Group,2007-06-09,2024-04-28,e8639274-6604-404f-9a8e-ca6b2fb2d831,Approved
84,Emp_150,C#,Jones Group,2014-09-12,2024-05-04,f33c3bfb-491b-4863-a169-a4ded90409c6,Approved
85,Emp_446,CSS,Riley LLC,2017-06-19,2024-05-04,20569746-5630-4ac4-9015-693da24726cd,Approved
86,Emp_367,Cryptography,"Mayer, Lee and Baker",2005-11-04,2024-04-27,c8c7a10a-f402-4d56-b330-52bfb017b539,Approved
87,Emp_15,Statistical Analysis,Brown Group,2015-05-04,2024-04-13,579d38f8-f98f-431b-8568-474d8d0a5842,Rejected
88,Emp_196,PostgreSQL,Roberts-Taylor,2012-06-25,2024-04-15,874dabfd-ddcc-4f0c-89a9-ccd082f3ebc1,Approved
89,Emp_290,Cryptography,Ritter-Sullivan,2000-08-04,2024-05-03,f5977b13-839a-46eb-af05-abbe9cce4313,Approved
90,Emp_58,PHP,"Nelson, Hughes and Lewis",1990-05-18,2024-04-16,bc9d8707-db3b-4245-af2a-f97cb40b6c5c,Approved
91,Emp_354,Problem Solving,Rich-Torres,1993-06-13,2024-04-26,cdefe674-fdbc-45c7-a10f-c348fbe0d959,Approved
92,Emp_71,Problem Solving,Duran Group,2021-11-17,2024-05-02,9bfe878d-f6db-4558-9c64-78d43a8e40a5,Approved
93,Emp_12,Prototyping,Thompson-Hicks,1984-11-15,2024-04-15,b0708192-7b00-4e1d-abd7-1707061b705b,Rejected
94,Emp_262,Kubernetes,Sanchez LLC,1994-10-01,2024-05-06,ae26b39a-16c2-4f48-9d58-4a54063f5d94,Approved
95,Emp_341,Statistical Analysis,"Lewis, Smith and Becker",1970-05-30,2024-05-03,589f0b11-a1a7-4d1d-92e6-77fe89f4b488,Approved
96,Emp_377,Prototyping,Schmitt Group,1979-03-23,2024-04-12,e65fb311-bb26-46fb-bc1b-4d9eefa585e6,Approved
97,Emp_24,PostgreSQL,Robinson Inc,1981-12-15,2024-04-23,8c83f6cc-c4f4-4451-a340-fd7c97d306b6,Rejected
98,Emp_245,RESTful API,Hamilton Ltd,1998-09-28,2024-04-10,5373e191-ae84-4cfb-9ece-d69d415f8adc,Approved
99,Emp_203,MySQL,Harmon LLC,2007-09-18,2024-05-02,927d62fc-c7d1-43b9-a2c0-e82f6a7d846c,Approved
100,Emp_497,Continuous Deployment,"Garcia, Hunter and Hill",1971-10-12,2024-04-14,6fb49f61-b2c7-47ef-9646-e52c170be16e,Approved
101,Emp_481,Requirements Analysis,Mcgee and Sons,2001-07-21,2024-04-27,28ae9659-33a4-4afc-8d5c-dfb06e076e57,Approved
102,Emp_10,Swift,Jones-Miller,1999-04-23,2024-04-23,a1fd39c4-3866-4431-aaa2-7dceb70b88d3,Rejected
103,Emp_69,Documentation,"Rose, Petty and Holden",2017-02-03,2024-04-09,f6f2ed74-dcf2-4993-86b9-233cd82d344f,Approved
104,Emp_78,Requirements Analysis,Bailey Ltd,1999-04-16,2024-04-08,fb38ab80-4f20-473a-b27f-b164f3b9f0ad,Approved
105,Emp_176,Troubleshooting,"Rasmussen, George and Leach",1978-06-10,2024-04-17,97cfb277-343f-4db0-8fc1-f6f65a7c6579,Approved
106,Emp_318,Behavior-Driven Development,Stevens-Wagner,2014-07-19,2024-04-21,762cf9de-093f-4628-b749-ec4e2d31cf30,Approved
107,Emp_125,Statistical Analysis,Cochran LLC,2007-01-03,2024-04-25,8be08f6e-581a-4f11-a4b9-e4399fb2b4c4,Approved
108,Emp_183,Accessibility,"Gardner, Olsen and Andersen",1990-11-24,2024-04-28,53ee2409-b7a9-4709-9945-2132f7636ae6,Approved
109,Emp_397,Cybersecurity,Hall-Sims,1989-07-08,2024-04-17,5e3600d9-b227-47d2-b610-9db35e527f6d,Approved
110,Emp_281,Git,"Hoffman, Lynch and Carpenter",1999-02-06,2024-05-01,849cfa58-0bc7-4b16-92aa-91a7a0d84495,Approved
111,Emp_88,Requirements Analysis,Watson Ltd,2019-11-10,2024-04-26,aa11e34e-fa1c-45c3-aded-12faa0df1968,Approved
112,Emp_387,Support,"Cooper, Scott and Lee",1997-12-12,2024-04-24,90bf1384-2cde-42e2-a24d-4e86bbce246b,Approved
113,Emp_315,Google Cloud Platform,Robinson-Blanchard,1978-03-28,2024-04-11,57c85dc7-2c03-4c2b-8e4f-d8a7b3abaa16,Approved
114,Emp_46,Requirements Analysis,Hall-Richmond,1985-12-18,2024-04-12,df68eb02-f8d2-45bd-9524-024df53b63f4,Approved
115,Emp_136,GraphQL,"Hart, Castaneda and Hall",1974-07-06,2024-04-17,01cb9e2e-cc4f-4981-81ec-51394d9e2030,Approved
116,Emp_17,Flask,"Perez, Romero and Goodman",2005-07-14,2024-05-05,ecf39ec3-fc9e-44f0-9262-9f3d49e17693,Rejected
117,Emp_195,Kotlin,"Owens, Smith and Scott",1983-09-24,2024-05-05,b12fe88b-36f0-4446-b38b-7f23dfd32c01,Approved
118,Emp_470,Objective-C,"Potts, Neal and Bell",1986-02-11,2024-04-26,59c5a6ac-4670-42bf-af6f-7d3335bf5e48,Approved
119,Emp_61,Behavior-Driven Development,Young Ltd,1989-03-30,2024-04-16,85ebb9d3-df77-46ff-b968-28496a477240,Approved
120,Emp_215,DevOps,Luna-Mckee,1975-01-31,2024-04-17,14832a0b-b3f9-41f1-81a0-a12bdc3579b5,Approved
121,Emp_433,Collaboration,Powers Ltd,1983-12-28,2024-04-25,ab9633bc-9a51-45a5-b633-4dc77018f056,Approved
122,Emp_403,Collaboration,Carter Ltd,2019-08-26,2024-05-03,a159bf6a-475c-476c-9589-751317a1ca45,Approved
123,Emp_197,Kubernetes,"Kelley, Cook and Fisher",1978-05-23,2024-04-20,ba40b2bc-c0fe-4e7b-9952-6b66230ed66c,Approved
124,Emp_479,Statistical Analysis,Moore-Sherman,2015-03-22,2024-04-21,fd1313df-0d90-4d91-94b2-0d0e2a110ab8,Approved
125,Emp_135,Network Security,"Henderson, Peters and Paul",2016-05-25,2024-05-04,618ebe79-11df-42ec-9778-7ab0cbff4fe1,Approved
126,Emp_464,Technical Writing,Ruiz LLC,1984-07-28,2024-05-02,08fcccd9-67e5-475a-80f7-a9e8b9479bb8,Approved
127,Emp_70,Containerization,Ellison-Zavala,2024-02-12,2024-04-09,373c97b6-3400-45e0-9db9-f6d68f39fcd8,Approved
128,Emp_262,Agile Methodologies,"Barr, Byrd and Myers",1991-05-18,2024-04-13,a331364b-6239-4cfc-a57a-c72ec1530330,Approved
129,Emp_149,Support,"Barnes, Davis and Brown",2010-09-27,2024-04-13,e5713fdb-6809-45df-ab02-e63882393c97,Approved
130,Emp_419,UI/UX Design,Horton and Sons,1981-11-18,2024-05-01,03f6c322-eb29-4cc7-a235-f315a4eec992,Approved
131,Emp_352,Cybersecurity,Hanson-Delacruz,1973-04-27,2024-05-05,85b84f5a-557d-42f0-a447-448e41dd1b44,Approved
132,Emp_122,User Research,"Clark, Oneal and Tate",2003-08-16,2024-04-12,f16f286c-1e5e-4ab0-a8e1-54d0e2e866d3,Approved
133,Emp_418,Accessibility,Fleming-Anderson,2009-04-08,2024-05-05,b3b9f3c6-7d50-4fc4-ad0e-0ffbb77ceef2,Approved
134,Emp_350,Wireframing,Roth PLC,1982-08-12,2024-04-08,c7438d64-d94d-4c1c-ac6a-c67633f78205,Approved
135,Emp_23,HTML,Hall Ltd,1995-03-10,2024-04-11,2d590203-4b64-4f05-8961-529c082aaabf,Rejected
136,Emp_220,Swift,"Parker, Lane and Andrews",1971-03-14,2024-04-16,84fc260c-8c87-4efd-b39e-144e4df16817,Approved
137,Emp_244,Information Security,"Johnson, Ruiz and Acosta",2018-05-13,2024-04-18,d2c3fc88-3dfb-4149-a7c9-09ecd06b9b18,Approved
138,Emp_79,Requirements Analysis,Lucas PLC,2014-03-05,2024-05-04,0c44a7ba-c081-4eed-975b-f7290ad06543,Approved
139,Emp_139,Requirements Analysis,Hooper LLC,1974-12-26,2024-04-23,5fdcb509-72c2-4468-af93-8f02b8f1db27,Approved
140,Emp_57,PostgreSQL,Wong-Wilson,2007-07-27,2024-05-03,f68033c6-2012-44eb-8fc1-4be510f138ff,Approved
141,Emp_320,Node.js,"Nguyen, Rivera and Rocha",2017-03-25,2024-04-24,19afd495-eb35-40ec-8824-1af29074bf04,Approved
142,Emp_40,DevOps,"Miller, Brown and Cervantes",2011-06-07,2024-04-26,88b08bbe-0ce4-4d04-8021-6c6fe0e1e635,Approved
143,Emp_449,NoSQL,"Butler, Hill and Martin",1995-07-20,2024-04-20,c0f19c6c-2384-4208-9591-17d42f74d78d,Approved
144,Emp_303,Agile Methodologies,"Vargas, Forbes and Barrera",2020-04-14,2024-04-15,dfcaa22c-076b-4042-9be9-6ffaa3835d28,Approved
145,Emp_373,Git,"Brooks, Simmons and Walters",2013-08-01,2024-05-06,92cec45d-0d84-4a90-a121-f1b94e402454,Approved
146,Emp_172,MongoDB,Hale and Sons,2011-04-18,2024-04-25,508200a4-5163-4368-9caa-f3cc5ac9c2ff,Approved
147,Emp_295,Cryptography,"Baker, Martin and Garcia",1979-10-18,2024-04-17,67173edb-2546-4657-9151-a9558ad3f59e,Approved
148,Emp_340,Data Science,Griffith and Sons,1990-10-19,2024-04-27,993ca78d-5807-424b-94ff-296d0f59ff67,Approved
149,Emp_325,Leadership,Brown-Wu,1998-06-16,2024-04-28,8ff071b2-889a-4696-9d87-47e94b0a2e1b,Approved
150,Emp_240,AWS,Taylor and Sons,1995-01-05,2024-04-27,e2e25311-974e-475f-ac25-629089e5bee0,Approved
151,Emp_180,MongoDB,Valdez-Villanueva,1978-03-23,2024-04-09,d4623182-069e-478b-b606-81e3def16e53,Approved
152,Emp_452,Swift,Foster-Flores,1975-03-29,2024-05-04,d30c5642-e5c9-47e2-aa67-5d6e22412c6c,Approved
153,Emp_74,RESTful API,"Lindsey, Villa and Jimenez",2023-01-27,2024-04-28,292bfb3a-80c0-43cc-bd70-cc4f11eab587,Approved
154,Emp_50,Java,"Day, Koch and Osborne",1979-05-18,2024-04-27,bd9ef239-8161-4ff7-af7c-cb59995b532b,Approved
155,Emp_120,Node.js,Johnston-Norris,1977-08-20,2024-04-15,77df4525-46ce-4efa-84ac-a389b624aa10,Approved
156,Emp_264,PHP,Howard PLC,2007-12-15,2024-04-23,299e6d95-e666-46d9-8f69-7167eb696b9c,Approved
157,Emp_250,Statistical Analysis,Hall Ltd,2000-12-28,2024-04-22,19d9e810-712a-4512-b28c-1703593aed21,Approved
158,Emp_147,Documentation,"Mitchell, Wallace and Fox",2016-02-27,2024-04-28,4ef1b7af-d2d9-4671-bf1a-4ae26845e83e,Approved
159,Emp_292,Scrum,Webb-Snyder,2018-12-08,2024-04-23,1fd2e15b-6f16-4795-b964-11e7f29c3a78,Approved
160,Emp_112,Cybersecurity,Cook-Hill,1998-04-04,2024-04-22,0dc74eee-1a88-4dc5-9504-282d6d63f32f,Approved
161,Emp_315,User Research,Moreno-Smith,1982-05-11,2024-04-11,5ec21fb7-a4d1-4c5f-9582-d04e0f629064,Approved
162,Emp_265,Responsive Design,"Flores, Phillips and Robertson",1979-09-28,2024-04-29,afc4f7e2-2529-4459-8dc0-6fbe67dddf1a,Approved
163,Emp_479,Support,Jimenez-Williams,1984-06-20,2024-04-20,d63591c7-098e-483b-892e-8be2443d8e60,Approved
164,Emp_470,Troubleshooting,Proctor Inc,2008-11-10,2024-05-06,6826235b-4284-447e-b9c1-959914fdcd02,Approved
165,Emp_456,Data Visualization,Brock-Owen,1972-07-24,2024-04-10,f5c2f9d4-6f35-4e79-9299-136d654548eb,Approved
166,Emp_265,Data Science,"Knight, Sullivan and Fox",2023-05-15,2024-04-22,befd42fc-e9e7-4844-92c3-03932957c6b4,Approved
167,Emp_319,Interaction Design,"Acosta, Chan and Armstrong",2013-03-20,2024-04-20,0ac4f573-fbf4-4333-9ae1-3b3907e0bfe3,Approved
168,Emp_160,Angular,"Davis, Lester and Clark",1999-05-03,2024-05-04,52ac0cf0-614b-4f9a-a328-443cefd25357,Approved
169,Emp_192,Data Science,Evans-Nichols,1996-01-26,2024-04-28,c5428586-76da-49b7-8517-408868d3260b,Approved
170,Emp_280,Product Management,Schwartz-Little,2002-12-13,2024-04-21,8e090e32-5f3f-45ca-b725-7f4d878ac32f,Approved
171,Emp_98,Cryptography,Torres Ltd,2024-01-05,2024-04-10,86f3d9c3-abc6-4455-b315-d26ccae05f96,Approved
172,Emp_374,Accessibility,Alvarez-Thomas,2008-08-03,2024-04-18,39b25cbb-8ff5-4679-a2a8-559f752e1bd7,Approved
173,Emp_201,Data Visualization,Gomez LLC,2005-07-12,2024-04-29,46f5b26f-eaf0-460c-871d-ad2ab5c5535c,Approved
174,Emp_235,Leadership,Turner PLC,1972-08-17,2024-04-17,7dea53a4-06be-4feb-ba9e-de36d9719aa2,Approved
175,Emp_479,Node.js,"Cruz, Perez and Lawson",2000-03-17,2024-04-10,b9b4da70-9666-4826-81cb-7f41303836e1,Approved
176,Emp_159,MySQL,"Khan, Joyce and Matthews",1995-05-17,2024-04-14,172ad6b4-b1c5-449a-a92e-b310f5d5bffc,Approved
177,Emp_436,Vue.js,"Thomas, Morris and Fox",2011-10-28,2024-04-30,e91a6470-9627-46be-a832-79e0bf661c42,Approved
178,Emp_463,Behavior-Driven Development,Farley PLC,1991-07-17,2024-05-02,fb30fbc4-19a1-42ed-a662-463a0165889d,Approved
179,Emp_101,Cybersecurity,Medina-Cabrera,1988-06-28,2024-05-04,1cf7911a-0692-4827-9232-4c9257ce9767,Approved
180,Emp_286,SQL,"Richardson, Nunez and Le",2001-04-02,2024-04-22,365a6d4c-16a5-44c0-b179-18f29c91ea2a,Approved
181,Emp_134,NoSQL,White Group,1995-11-03,2024-05-06,cfa9c510-51a7-4448-9a2b-55e3f0cd88a9,Approved
182,Emp_158,Kubernetes,"Riley, Edwards and Rogers",1997-01-20,2024-04-29,b42a2aeb-5b7a-4ed8-b88f-7311cd094f05,Approved
183,Emp_378,User Research,Young-Lynn,1979-08-03,2024-04-29,7d2de943-3f7d-4142-a7fd-66b4c7cb73b8,Approved
184,Emp_439,RESTful API,Robertson-Daugherty,2007-01-04,2024-05-01,1726b47e-e774-47a6-a4a6-0109559d8163,Approved
185,Emp_276,Azure,"Jenkins, Lawrence and Diaz",1991-02-20,2024-04-25,932b08c6-225f-476b-bc6c-f77f7d56ee86,Approved
186,Emp_101,Kotlin,Weaver-Rivera,1986-06-18,2024-04-12,039c6198-2cf4-4a6e-ba1c-e252b8349853,Approved
187,Emp_114,JavaScript,Washington-Cook,1980-02-22,2024-04-23,42613c9c-4464-4614-9dff-ac92c94ee8f6,Approved
188,Emp_106,AWS,Hamilton PLC,1995-09-03,2024-04-15,669f2256-df0a-46a6-8eac-70f7646ebb8e,Approved
189,Emp_292,MongoDB,"Sharp, Mendez and Mora",2004-07-11,2024-04-09,d8ec8214-bea8-4811-95f0-d84efd2bb645,Approved
190,Emp_321,Prototyping,Rodriguez Ltd,1990-04-07,2024-04-13,d486c85d-c228-45ba-bb30-a8776b6ec83d,Approved
191,Emp_132,.NET,Gonzalez Group,1997-01-26,2024-04-24,445011d6-7d54-4805-9d0b-1625f4a59c7c,Approved
192,Emp_284,User Research,Allen Group,2021-03-03,2024-05-06,f9a12420-62d3-4e00-8977-6c908f084359,Approved
193,Emp_280,Scrum,"Hernandez, Bradley and Gilbert",1972-03-03,2024-04-28,cf08c112-2926-47b7-8567-09759ee1ba4c,Approved
194,Emp_215,Artificial Intelligence,"Hayes, Thomas and Thompson",1988-12-10,2024-05-02,7425ff75-6c9f-4f2a-b24e-503e5c877067,Approved
195,Emp_95,Wireframing,Warren PLC,1997-01-03,2024-04-21,9754a38b-3f7d-49ce-9846-40b6ff819721,Approved
196,Emp_490,Agile Methodologies,Myers Ltd,1971-01-29,2024-05-02,87335e0a-47e2-489f-bd98-5e00928a3c33,Approved
197,Emp_427,PHP,"Fox, Long and Phillips",1996-12-03,2024-04-08,1968ebf6-9184-4f1d-b0c2-964e7d776f21,Approved
198,Emp_1,React,"Stafford, Long and Olson",1988-10-23,2024-04-29,e71955bc-928d-4a9c-a394-8e334838a5dd,Rejected
